	自治体名	現行計画名	策定・改定年月	data1	data2	対象期間
1	岐阜市	第3次岐阜市子どもの読書活動推進計画（公開ページ＜外部リンク＞）	令和4年2月	令和4年2月1日	202202	推進計画期間は、令和４年度から令和８年度までの５年間とします。
2	羽島市	羽島市子ども読書活動推進計画（第3次）（公開ページ＜外部リンク＞）	令和5年3月	令和5年3月1日	202303	推進期間は、令和５年度を計画初年度として、令和９年度までの５年間とします。
3	各務原市	各務原市子どもの読書活動推進計画（第3次）（公開ページ＜外部リンク＞）	令和5年3月	令和5年3月1日	202303	"第 3 次計画における計画期間は、令和 5 年度（ 2023 年）から令和 9 年度（ 2027
年）までの 5 年間として読書環境の整備に努めます。また、この計画終了後は必要に応"
4	山県市	第3次山県市子どもの読書活動推進計画（公開ページ＜外部リンク＞）	令和5年4月	令和5年4月1日	202304	期間は、令和５年度（２０２３年４月）から令和９年度末（２０２８年３月）までの５年間とする。
5	瑞穂市	第三次瑞穂市子どもの読書活動推進計画（公開ページ＜外部リンク＞）	令和4年3月	令和4年3月1日	202203	本計画の期間は令和４年度からおおむね５年間とし、必要に応じて見直しを行うものとします。
6	本巣市	第四次本巣市子どもの読書活動推進計画（公開ページ＜外部リンク＞）	令和6年3月	令和6年3月1日	202403	計画の期間は、２０２４年度から２０２８年度までの5年間とし、必要に応じて計画の見直しを行います。
7	岐南町	岐南町子どもの読書活動推進計画	平成25年3月	平成25年3月1日	201303	-
8	笠松町	笠松町子どもの読書活動推進計画	平成24年3月	平成24年3月1日	201203	-
9	北方町	北方町子どもの読書活動推進計画（公開ページ＜外部リンク＞）	平成25年4月	平成25年4月1日	201304	リンク切れ
10	大垣市	大垣市第2次教育振興基本計画（図書館活用分野）（公開ページ＜外部リンク＞）	令和2年3月	令和2年3月1日	202003	大垣市第２次教育振興基本計画の基本理念・基本方針の計画期間は、令和２年から10年間です。
11	海津市	海津市子ども読書活動推進計画	令和3年4月	令和3年4月1日	202104	-
12	養老町	養老町子どもの読書活動推進計画（公開ページ＜外部リンク＞）	平成31年2月	平成31年2月1日	201902	この計画の期間は、平成３１年（2019年）度から平成３３年（2021年）度までとします。 
13	垂井町	垂井町第三次子どもの読書活動推進計画（公開ページ＜外部リンク＞）	令和6年3月	令和6年3月1日	202403	この計画の期間は、令和６年度から令和10年度までの５年間とします。
